Einzelplan;Kapitel;Titel;Titelgruppe;Funktion;Titel-Text;Soll 2026;;Titel;Seitenzahl
1;1;23201;0;187;Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen                                                                                                             ;0;;10123201;6
1;1;38103;0;890;Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381<RB>.1 und 381<RB>.7                                                                                                                         ;0;;10138103;6
1;1;42101;0;11;Bezüge des Bundespräsidenten                                                                                                                                                                            ;277;;10152901;6
1;1;42102;0;11;Aufwandsgeld                                                                                                                                                                                            ;78;;10168101;7
1;1;45301;0;11;Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen                                                                                                                                       ;0;;10168401;7
1;1;52901;0;11;Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen                                                                                                                            ;1100;;10198103;7
1;1;54501;0;11;Konferenzen, Tagungen, Messen und Ausstellungen                                                                                                                                                         ;0;;10142101;7
1;1;68101;0;11;Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.                                                                                                          ;1348;;10142102;7
1;1;68401;0;187;Deutsche Künstlerhilfe                                                                                                                                                                                  ;2000;;10145301;8
1;1;98103;0;890;Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981<RB>.1 und 981<RB>.7                                                                                                                          ;0;;10154501;8
1;11;11957;57;18;Vermischte Einnahmen                                                                                                                                                                                    ;0;;11128209;1
1;11;23257;57;18;Beteiligung an den Versorgungslasten des Bundes                                                                                                                                                         ;100;;11138103;1
1;11;28209;0;11;Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen                                                                                                                             ;0;;11111957;1
1;11;38103;0;890;Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381<RB>.1 und 381<RB>.7                                                                                                                         ;0;;11123257;1
1;11;42401;0;11;Zuführung an die Versorgungsrücklage                                                                                                                                                                    ;0;;11154201;1
1;11;43157;57;18;Versorgungsbezüge der Bundespräsidenten und deren Hinterbliebenen                                                                                                                                       ;900;;11154709;11
1;11;43257;57;18;Versorgungsbezüge                                                                                                                                                                                       ;3998;;11198103;11
1;11;43457;57;18;Zuführung an die Versorgungsrücklage                                                                                                                                                                    ;225;;11143157;11
1;11;44101;0;840;Beihilfen aufgrund der Beihilfevorschriften                                                                                                                                                             ;380;;11143257;11
1;11;44301;0;840;Fürsorgeleistungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften                                                                                                                  ;60;;11143457;11
